page,block,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
1,0,"CURRICULUM & SYLLABI B.Tech. COMPUTER SCIENCE &",21.00,35.62,328.86,47,136.34,86.54,465.20,122.16,true,false
1,1,"ENGINEERING",21.00,10.30,154.68,11,223.49,137.18,378.17,147.48,true,false
1,2,"Effective from AY: 2024-25",14.26,10.30,202.32,26,199.61,154.70,401.93,165.00,true,false
1,3,"",21.00,10.30,6.10,0,297.77,187.82,303.87,198.12,true,false
1,4,"",21.00,10.30,6.10,0,297.77,223.10,303.87,233.40,true,false
1,5,"",14.00,6.58,3.90,0,297.77,250.73,301.67,257.31,true,false
1,6,"",21.00,10.30,6.10,0,297.77,283.85,303.87,294.15,true,false
1,7,"",21.00,10.30,6.10,0,63.86,319.13,69.97,329.43,true,false
1,8,"",21.00,10.30,6.10,0,63.86,506.11,69.97,516.41,true,false
1,9,"",21.00,10.30,6.10,0,297.77,541.39,303.87,551.69,true,false
1,10,"",21.00,10.30,6.10,0,297.77,576.82,303.87,587.12,true,false
1,11,"",21.00,10.30,6.10,0,297.77,612.10,303.87,622.40,true,false
1,12,"",18.00,8.44,5.00,0,297.77,643.30,302.77,651.74,true,false
1,13,"",21.00,10.30,5.01,0,297.77,677.74,302.78,688.04,true,false
1,14,"NATIONAL INSTITUTE OF TECHNOLOGY WARANGAL",21.00,10.30,471.16,41,64.70,710.98,535.87,721.28,true,false
1,15,"WARANGAL, TELANGANA",21.00,10.30,240.62,19,179.90,744.12,420.52,754.42,true,false
1,16,"",21.00,10.30,5.01,0,63.86,779.28,68.87,789.58,true,false
1,17,"",21.00,10.30,5.01,0,207.89,779.28,212.90,789.58,true,false
2,0,"Department of Computer Science & Engineering",12.00,5.63,429.30,44,105.74,54.36,535.04,59.99,false,false
2,1,"",21.00,10.30,5.01,0,297.77,86.42,302.78,96.72,true,false
2,2,"Table of Contents",15.00,7.98,115.08,17,63.86,120.38,178.95,128.36,false,false
2,3,"VISION AND MISSION OF THE INSTITUTE ............................................................................................................... 3",9.01,5.52,470.33,149,63.86,141.86,534.20,147.38,true,false
2,4,"VISION AND MISSION OF THE DEPARTMENT ......................................................................................................... 3",9.01,5.52,470.33,144,63.86,160.94,534.20,166.46,true,false
2,5,"PROGRAM EDUCATIONAL OBJECTIVES .................................................................................................................. 4",9.01,5.52,470.33,147,63.86,180.14,534.20,185.66,true,false
2,6,"PROGRAM OUTCOMES .......................................................................................................................................... 5",9.01,5.52,470.33,157,63.86,199.34,534.20,204.86,true,false
2,7,"PROGRAM SPECIFIC OUTCOMES ............................................................................................................................ 5",9.01,5.52,470.33,152,63.86,218.54,534.20,224.06,true,false
2,8,"CURRICULUM ......................................................................................................................................................... 6",9.01,5.52,470.33,166,63.86,237.74,534.20,243.26,true,false
2,9,"THE OVERALL CREDIT STRUCTURE ................................................................................................................ 12",9.01,5.52,470.33,144,63.86,256.85,534.20,262.37,true,false
2,10,"SYLLABI ................................................................................................................................................................ 14",9.01,5.52,470.33,171,63.86,276.05,534.20,281.57,true,false
2,11,"MINOR: COMPUTER SCIENCE & ENGINEERING .................................................................................................. 161",9.01,5.52,470.33,140,63.86,295.25,534.20,300.77,true,false
2,12,"HONORS: COMPUTER SCIENCE & ENGINEERING ................................................................................................ 162",9.01,5.52,470.33,139,63.86,314.45,534.20,319.97,true,false
2,13,"",11.00,5.52,2.50,0,63.86,334.37,66.36,339.89,false,false
2,14,"",9.00,4.98,2.25,0,63.86,354.05,66.11,359.03,true,false
2,15,"",12.00,5.63,3.34,0,63.86,374.81,67.20,380.44,false,false
2,16,"",12.00,5.63,6.70,0,63.86,397.73,70.56,403.36,true,false
2,17,"",12.00,5.63,3.34,0,63.86,420.67,67.20,426.30,false,false
2,18,"",12.00,5.63,3.34,0,63.86,443.47,67.20,449.10,false,false
2,19,"",12.00,5.63,3.34,0,63.86,466.39,67.20,472.02,false,false
2,20,"",12.00,5.63,3.34,0,207.89,466.39,211.23,472.02,false,false
2,21,"2 | Page",12.00,5.63,59.86,8,475.18,825.60,535.04,831.23,false,false
2,22,"",12.00,5.63,3.34,0,63.86,839.40,67.20,845.03,false,false
3,0,"Department of Computer Science & Engineering",12.00,5.63,429.30,44,105.74,54.36,535.04,59.99,false,false
3,1,"Vision and Mission of the Institute",12.00,5.63,198.12,35,200.33,77.16,398.45,82.79,true,false
3,2,"National Institute of Technology Warangal",12.00,5.63,243.39,41,177.74,92.06,421.13,97.69,true,false
3,3,"VISION",14.00,6.58,48.30,6,63.86,122.54,112.16,129.12,true,false
3,4,"Towards a Global Knowledge Hub, striving continuously in pursuit of excellence in Education, Research, Entrepreneurship and Technological services to the society",12.00,20.39,470.68,161,63.86,136.82,534.54,157.21,false,false
3,5,"MISSION",14.00,6.58,59.58,7,63.86,176.42,123.44,183.00,true,false
3,6," Imparting total quality education to develop innovative, entrepreneurial and ethical",12.00,5.63,452.75,86,81.86,191.54,534.61,197.17,false,false
3,7,"future professionals fit for globally competitive environment.",12.00,5.63,318.86,62,99.86,212.30,418.73,217.93,false,false
3,8," Allowing stakeholders to share our reservoir of experience in education and",12.00,5.63,452.75,77,81.86,233.78,534.61,239.41,false,false
3,9,"knowledge for mutual enrichment in the field of technical education.",12.00,5.63,360.89,68,99.86,254.45,460.76,260.08,false,false
