page,block,heading,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
2,0,H1,Data-DrivenStressTesting:TheRoleof,21,14.53,375.71,34,109.8,92.57,485.51,107.1,TRUE,FALSE
2,1,H1,DeepLearninginFinancialRisk,21,14.53,305.48,27,144.84,117.77,450.32,132.3,TRUE,FALSE
2,2,H1,Management,21,14.53,123.35,10,235.92,143.09,359.27,157.62,TRUE,FALSE
1,1,H1,Data-Driven Stress Testing: The Role of Deep Learning in Financial Risk Management,20,23.46,471.88,82,39.76,104.69,511.63,128.15,FALSE,FALSE
2,3,H2,"Author:EmmanuelOk,JohnsonEniola",15,10.56,248.87,31,173.16,176.57,422.02,187.13,FALSE,FALSE
2,4,H2,Abstract,15,10.56,59.43,8,90,208.97,149.43,219.53,TRUE,FALSE
2,6,H2,Introduction,15,10.56,87.11,12,90,642.17,177.11,652.73,TRUE,FALSE
4,6,H2,Methodology,15,10.56,89.81,11,90,737.09,179.81,747.65,TRUE,FALSE
7,2,H2,Results,15,10.56,49.64,7,90,299.09,139.64,309.65,TRUE,FALSE
9,4,H2,Discussion,15,10.56,71.99,10,90,640.49,161.99,651.05,TRUE,FALSE
12,9,H2,Conclusion,15,10.56,76.43,10,90,645.53,166.43,656.09,TRUE,FALSE
14,5,H2,References,15,10.56,74.48,10,90,405.29,164.48,415.85,TRUE,FALSE
1,6,BODY,15,12,4.47,7.9,2,297.5,194.14,305.4,198.61,FALSE,FALSE
