page,block,heading,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
1,0,H1,Fact gathering: the first and most important task in software negotiations,38,150.99,360.77,74,371.8,213.56,732.57,364.55,FALSE,FALSE
2,0,H1,Table of Contents,34,22.39,260.33,17,194.4,98.01,454.73,120.4,FALSE,FALSE
4,0,H1,Software is not static,34,22.39,314.3,22,194.4,98.01,508.7,120.4,FALSE,FALSE
5,0,H1,A software provider will not be the author of and will not “own” the copyright in all of the software that is being delivered,34,136.42,530.86,125,194.4,98.01,725.26,234.44,FALSE,FALSE
7,0,H1,"Software will be developed with a set of tools, which can be important to the delivery of software and solutions",34,136.42,447.95,112,194.4,98.01,642.35,234.44,FALSE,FALSE
9,0,H1,Many of the most valuable third-party components and tools are made available under open source licenses,34,136.42,469.54,104,194.4,98.01,663.94,234.44,FALSE,FALSE
10,0,H1,Software licenses can be categorized in unlimited ways,34,60.4,439.61,54,194.4,98.01,634.01,158.42,FALSE,FALSE
11,0,H1,Some of the most essential and widely used software is provided under the GPL and other copyleft licenses,34,136.42,444.19,105,194.4,98.01,638.59,234.44,FALSE,FALSE
12,0,H1,Conclusion,34,22.39,163.49,10,194.4,98.01,357.89,120.4,FALSE,FALSE
3,0,H1,Introduction by Karen Copenhaver:,20.67,22.39,317.41,33,194.4,98.01,511.81,120.4,FALSE,FALSE
4,2,H2,The software that will be developed will evolve as it is developed.,18,60.25,227.87,67,194.4,140.01,422.27,200.26,TRUE,FALSE
4,4,H2,Software will change continuously over the course of its normal life.,18,60.25,216.6,69,475.2,246,691.8,306.25,TRUE,FALSE
3,1,BODY,"When I began practicing law 30 years ago, I had a fabulous manager. He always reminded all of us that practicing law is ninety percent fact gathering and ten percent legal analysis. You cannot do the legal analysis until you fully understand the facts. If our drafting was vague, it was almost always because we were writing around facts that we didn’t fully understand. We were leaving space because we could not be precise.",12,71.9,538.22,425,194.4,118.51,732.62,190.41,FALSE,FALSE
2,1,H1,"Introduction ...........................................................................................................3 Software is not static ............................................................................................4 A software provider will not be the author of all of the software that is being delivered ....................................................5 Software will be developed with a set of tools, which can be important to the delivery of software and solutions .................................7 Many of the most valuable third-party components and tools are made available under open source licenses .............................9 Software licenses can be categorized in unlimited ways ................................10 Some of the most essential and widely used software is provided under the GPL and other copyleft licenses ...................................11 Conclusion .............................................................................................................12",11,224.27,391.07,1023,194.39,160.43,585.46,384.7,FALSE,FALSE
1,1,BODY,Karen Copenhaver and Steve Winslow,10,6.6,178.11,34,371.8,389.56,549.91,396.15,FALSE,FALSE
3,2,BODY,"What is true of individual lawyers is also true of groups with ridiculous assumptions about writing software of lawyers and procurement professionals attempting from scratch, the credibility of the procurement to negotiate an agreement. If both parties shared process is undermined, and, in the future, they will a common understanding of the facts, drafting the find ways to avoid or delay involving procurement and agreement would be much more efficient. By facts, counsel. Where the parties write around what they do I mean details about the context of the agreement not understand, the agreement that results will be full that are fixed and verifiable. I am not suggesting of vague or inaccurate language. that the parties could or need to share opinions or a shared vision of how the relationship might unfold. I am thinking about negotiators who do not know what the human beings employed by both parties who will perform the work all know to be true. As an easy example, when the people negotiating a software development agreement do not know that the developers for both parties assume that the software will include many pre-existing components, the process will be horribly inefficient. This is more than just a waste of time. When the developers are confronted",10,219.6,538.69,1272,194.4,247.65,733.09,467.25,FALSE,FALSE
3,3,BODY,The purpose of this article is to lay out some basic facts about how software is developed and works today in an attempt to help procurement professionals and their legal counsel avoid making factual assumptions that will undermine their credibility and delay negotiations.,10,54.6,265.4,273,475.2,340.65,740.6,395.25,FALSE,FALSE
4,1,BODY,"the people who will actually perform the work. They may know that the list will change often, and they do not want to amend the agreement every time they consider, include, or replace a component. A process acceptable to both parties that allows for the rapid evolution of the work to be performed will be welcomed.",10,78.6,253.22,315,475.2,132,728.42,210.6,FALSE,FALSE
4,3,BODY,"In the early days of the software industry, attorneys assumed that they could comprehensively capture a business relationship in the written contract. The agreement would include detailed specifications for the product to be developed, and there would be a project timeline with milestones tied to achieving those specifications. When the agreement was executed, usually after many months of negotiations, the parties knew exactly what they were contractually obligated to deliver and when. Even then, this was a myth. Software is never “finished” until it is uninstalled. If we required a detailed, final specification for in the operating environment and to apply patches development before the parties could begin work that become available to eliminate potential security today, we would only be assured that the results would vulnerabilities. If the software is not updated, that be too late to market to be valuable. Agreements today should be a sign that necessary software maintenance is have to be focused on establishing the process for not occurring. And changes in the hardware or software working together to develop something which neither operating environment provide opportunities to improve party can fully define or envision. In other words, the software functionality. The agreement should not be only thing we know is that what we develop together written based on the assumption that all development will change as the work is performed, the operating will come to a conclusion at any point prior to the end of environment is updated, and the market changes.the life of the software. Thus, requiring that a fixed list of the specific software components that will be used in the development be included in the agreement may not make sense to",10,294.6,546.19,1763,194.4,216,740.59,510.6,FALSE,FALSE
4,5,BODY,Constant updating is required to accommodate changes,10,6.6,261.09,52,475.2,336,736.29,342.6,FALSE,FALSE
