page,block,heading,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
1,3,H1,NIRMALA SITHARAMAN,19,11.97,241.44,18,157.68,530.24,399.12,542.21,TRUE,FALSE
1,1,H1,BUDGET 2025-2026,18.13,11.97,170.97,16,192.96,358.64,363.93,370.61,TRUE,FALSE
5,0,BODY,,15,31.89,3.39,0,304.89,100.59,308.28,132.48,TRUE,FALSE
5,H2,BODY,Budget 2025-2026,15,7.5,116.63,16,248.28,149.24,364.91,156.74,TRUE,FALSE
5,2,BODY,,15,7.5,3.39,0,304.89,173.63,308.28,181.13,FALSE,FALSE
5,3,BODY,Speech of,15,7.5,64.19,9,274.5,197.92,338.69,205.42,TRUE,FALSE
5,4,BODY,Nirmala Sitharaman Minister of Finance,15,31.89,128.24,38,242.41,222.18,370.65,254.07,FALSE,FALSE
5,5,BODY,02/01/25,15,7.5,107.76,16,252.72,289.74,360.48,297.24,TRUE,FALSE
24,2,BODY,PART B Indirect Taxes,15,41.41,90.15,21,261.46,127.33,351.61,168.74,TRUE,FALSE
27,2,H1,Direct Taxes,15,7.5,79.59,12,266.8,351.59,346.39,359.09,TRUE,FALSE
33,2,H1,Annexures to Part A,15,7.5,128.37,19,242.41,128.89,370.78,136.39,TRUE,FALSE
1,2,BODY,SPEECH OF,13,31.89,58.56,9,249.12,480.56,307.68,512.45,TRUE,FALSE
1,5,BODY,02/01/25,13,8.42,107.94,17,224.4,687.2,332.34,695.62,TRUE,TRUE
3,1,H1,CONTENTS,13,6.98,65.78,8,273.59,126.42,339.37,133.4,TRUE,FALSE
35,2,BODY,Annexure to Part B,13,6.98,113.65,18,249.59,127.85,363.24,134.83,TRUE,FALSE
35,3,BODY,Amendments relating to Indirect Taxes,13,6.98,229.26,37,184.61,150.94,413.87,157.92,TRUE,FALSE
50,2,BODY,Annexure to Part B,13,6.98,113.65,18,249.59,127.85,363.24,134.83,TRUE,FALSE
50,3,BODY,Amendments relating to Direct Taxes,13,6.98,219.34,35,196.74,154.2,416.08,161.18,TRUE,FALSE
3,0,BODY,,12,6,2.71,0,304.89,103.85,307.6,109.85,TRUE,FALSE
3,2,BODY,,12,6,2.71,0,304.89,147.68,307.6,153.68,TRUE,FALSE
3,3,H2,PART – A,12,6,47.73,8,282.33,168.29,330.06,174.29,TRUE,FALSE
3,4,BODY,Page No.,12,6,78.65,8,418.67,190.35,497.32,196.35,TRUE,FALSE
3,5,BODY,Introduction Budget Theme Agriculture as the 1 engine MSMEs as the 2 engine Investment as the 3 engine A. Investing in People B. Investing in the Economy C. Investing in Innovation,12,150.54,158.88,180,115.2,212.66,274.08,363.2,TRUE,FALSE
3,6,BODY,1 1 3 6 8 8 10 14 15 16 18,12,212.5,14.84,26,463.15,212.66,477.99,425.16,TRUE,FALSE
3,11,BODY,Exports as the 4 engine Reforms as the Fuel Fiscal Policy,12,88.58,125.1,57,115.2,377.81,240.3,466.39,TRUE,FALSE
3,12,H2,PART – B,12,6,47.21,8,282.59,482.57,329.8,488.57,TRUE,FALSE
3,13,BODY,Indirect taxes Direct Taxes  Annexure to Part-A Annexure to Part-B,12,109.2,98.86,66,115.2,504.74,214.06,613.94,TRUE,FALSE
3,14,BODY,20 23,12,26.61,14.84,5,463.15,504.74,477.99,531.35,TRUE,FALSE
3,15,BODY,29 31,12,26.63,14.84,5,463.15,566.7,477.99,593.33,TRUE,FALSE
3,16,BODY,,12,6,25.15,0,155.78,628.68,180.93,634.68,TRUE,FALSE
5,6,BODY,"Hon’ble Speaker, I present the Budget for 2025-26. Introduction 1. This Budget continues our Government’s efforts to:",12,72,289.34,117,115.2,337.37,404.54,409.37,FALSE,FALSE
5,7,BODY,"a) accelerate growth, b) secure inclusive development, c) invigorate private sector investments, d) uplift household sentiments, and e) enhance spending power of India’s rising middle class.",12,93.93,291.04,190,143.52,425.42,434.56,519.35,FALSE,FALSE
6,1,BODY,2,12,6,32.08,1,301.89,97.72,333.97,103.72,FALSE,FALSE
6,2,BODY,"a) zero-poverty; b) hundred per cent good quality school education; c) access to high-quality, affordable, and comprehensive healthcare; d) hundred per cent skilled labour with meaningful employment; e) seventy per cent women in economic activities; and f) farmers making our country the ‘food basket of the world’.",12,115.98,341.9,315,139.74,235.35,481.64,351.33,FALSE,FALSE
6,3,BODY,"6. In this Budget, the proposed development measures span ten broad areas focusing on Garib, Youth, Annadata and Nari.",12,22.05,384.18,118,115.2,367.24,499.38,389.29,FALSE,FALSE
6,4,BODY,"1) Spurring Agricultural Growth and Productivity; 2) Building Rural Prosperity and Resilience; 3) Taking Everyone Together on an Inclusive Growth path; 4) Boosting Manufacturing and Furthering Make in India; 5) Supporting MSMEs; 6) Enabling Employment-led Development; 7) Investing in people, economy and innovation; 8) Securing Energy Supplies; 9) Promoting Exports; and 10) Nurturing Innovation.",12,204.04,294.03,397,136.48,405.33,430.51,609.37,FALSE,FALSE
6,5,BODY,"7. For this journey of development,",12,6,207.94,35,115.2,625.42,323.14,631.42,FALSE,FALSE
6,6,BODY,"a) Our four powerful engines are: Agriculture, MSME, Investment, and",12,6,362.94,68,136.48,647.33,499.42,653.33,FALSE,FALSE
6,7,BODY,Exports,12,6,41.97,7,157.74,663.37,199.71,669.37,FALSE,FALSE
