page,block,heading,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
1,0,H1,ThePython/CAPI,24,14.87,207.49,14,315.81,129.78,523.3,144.66,TRUE,FALSE
1,1,H2,Release3.13.3,17,10.33,117.36,13,405.9,157.68,523.26,168.01,TRUE,TRUE
1,2,H2,GuidovanRossumandthePythondevelopmentteam,17,10.33,437.48,41,85.8,317.62,523.27,327.95,TRUE,FALSE
3,0,H1,CONTENTS,14,8.61,78.01,8,445.26,149.71,523.28,158.32,TRUE,FALSE
11,1,H1,ONE,14,8.61,30.57,3,492.72,123.81,523.29,132.41,TRUE,FALSE
11,2,H1,INTRODUCTION,14,8.61,110.15,12,413.13,178.6,523.28,187.21,TRUE,FALSE
11,4,H2,1.1Codingstandards,14,8.61,147.55,18,72,413.47,219.55,422.08,TRUE,FALSE
11,6,H2,1.2IncludeFiles,14,8.61,112.89,15,72,494.5,184.89,503.1,TRUE,FALSE
12,4,H2,1.3Usefulmacros,14,8.61,125.21,15,72,330.77,197.21,339.38,TRUE,FALSE
14,14,H2,"1.4Objects,TypesandReferenceCounts",14,8.61,285.13,34,72,568.49,357.13,577.1,TRUE,FALSE
18,4,H2,1.5Exceptions,14,8.61,101.84,13,72,226.92,173.84,235.53,TRUE,FALSE
20,1,H2,1.6EmbeddingPython,14,8.61,156.37,18,72,84.55,228.37,93.16,TRUE,FALSE
20,3,H2,1.7DebuggingBuilds,14,8.61,147.54,18,72,500.32,219.54,508.93,TRUE,FALSE
21,1,H1,TWO,14,8.61,33.35,3,489.92,123.81,523.28,132.41,TRUE,FALSE
21,2,H1,CAPISTABILITY,14,8.61,114.45,13,408.82,178.6,523.28,187.21,TRUE,FALSE
21,6,H2,2.1UnstableCAPI,14,8.61,129.23,15,72,472.88,201.23,481.48,TRUE,FALSE
21,8,H2,2.2StableApplicationBinaryInterface,14,8.61,262.08,35,72,589.4,334.08,598,TRUE,FALSE
23,2,H2,2.3PlatformConsiderations,14,8.61,190.32,25,72,211.15,262.32,219.76,TRUE,FALSE
23,4,H2,2.4ContentsofLimitedAPI,14,8.61,188.55,23,72,333.95,260.55,342.55,TRUE,FALSE
49,1,H1,THREE,14,8.61,47.77,5,475.5,123.81,523.28,132.41,TRUE,FALSE
49,2,H1,THEVERYHIGHLEVELLAYER,14,8.61,207.12,21,316.16,178.6,523.28,187.21,TRUE,FALSE
53,1,H1,FOUR,14,8.61,40.81,4,482.48,123.81,523.29,132.41,TRUE,FALSE
53,2,H1,REFERENCECOUNTING,14,8.61,165.89,17,357.39,178.6,523.28,187.21,TRUE,FALSE
57,1,H1,FIVE,14,8.61,31.07,4,492.22,123.81,523.29,132.41,TRUE,FALSE
57,2,H1,EXCEPTIONHANDLING,14,8.61,159.37,17,363.9,178.6,523.28,187.21,TRUE,FALSE
57,6,H2,5.1Printingandclearing,14,8.61,168.45,22,72,534.22,240.45,542.82,TRUE,FALSE
58,7,H2,5.2Raisingexceptions,14,8.61,155.86,20,72,417.45,227.86,426.06,TRUE,FALSE
60,19,H2,5.3Issuingwarnings,14,8.61,142.29,18,72,727.29,214.29,735.9,TRUE,FALSE
61,13,H2,5.4Queryingtheerrorindicator,14,8.61,215.48,28,72,574.86,287.48,583.47,TRUE,FALSE
64,16,H2,5.5SignalHandling,14,8.61,133.72,17,72,668.49,205.72,677.1,TRUE,FALSE
65,15,H2,5.6ExceptionClasses,14,8.61,151.77,19,72,710.36,223.77,718.96,TRUE,FALSE
66,3,H2,5.7ExceptionObjects,14,8.61,150.76,19,72,256.06,222.76,264.67,TRUE,FALSE
67,2,H2,5.8UnicodeExceptionObjects,14,8.61,211.38,26,72,144.9,283.38,153.51,TRUE,FALSE
68,1,H2,5.9RecursionControl,14,8.61,150.39,19,72,84.55,222.39,93.16,TRUE,FALSE
68,10,H2,5.10StandardExceptions,14,8.61,175.7,22,72,589.99,247.7,598.6,TRUE,FALSE
70,5,H2,5.11StandardWarningCategories,14,8.61,234.46,29,72,270.55,306.46,279.16,TRUE,FALSE
71,1,H1,SIX,14,8.61,22.75,3,500.52,123.81,523.28,132.41,TRUE,FALSE
71,2,H1,UTILITIES,14,8.61,67.46,9,455.83,178.6,523.29,187.21,TRUE,FALSE
71,4,H2,6.1OperatingSystemUtilities,14,8.61,203.34,27,72,293.88,275.34,302.48,TRUE,FALSE
74,1,H2,6.2SystemFunctions,14,8.61,147.88,18,72,84.55,219.88,93.16,TRUE,FALSE
75,9,H2,6.3ProcessControl,14,8.61,136.33,17,72,596.78,208.33,605.39,TRUE,FALSE
76,7,H2,6.4ImportingModules,14,8.61,154.81,19,72,301.9,226.81,310.51,TRUE,FALSE
80,1,H2,6.5Datamarshallingsupport,14,8.61,197.89,25,72,84.55,269.89,93.16,TRUE,FALSE
81,1,H2,6.6Parsingargumentsandbuildingvalues,14,8.61,291.33,36,72,84.55,363.33,93.16,TRUE,FALSE
89,17,H2,6.7Stringconversionandformatting,14,8.61,250.37,32,72,423.43,322.37,432.04,TRUE,FALSE
91,6,H2,6.8PyHashAPI,14,8.61,106.66,12,72,235.14,178.66,243.75,TRUE,FALSE
92,10,H2,6.9Reflection,14,8.61,95.83,13,72,375.47,167.83,384.08,TRUE,FALSE
93,12,H2,6.10Codecregistryandsupportfunctions,14,8.61,289.05,36,72,501.29,361.05,509.9,TRUE,FALSE
95,9,H2,6.11PyTimeCAPI,14,8.61,128.64,14,72,278.6,200.64,287.21,TRUE,FALSE
96,11,H2,6.12SupportforPerfMaps,14,8.61,186.07,22,72,374.34,258.07,382.95,TRUE,FALSE
99,1,H1,SEVEN,14,8.61,46.58,5,476.69,123.81,523.28,132.41,TRUE,FALSE
99,2,H1,ABSTRACTOBJECTSLAYER,14,8.61,197.29,20,326,178.6,523.29,187.21,TRUE,FALSE
99,4,H2,7.1ObjectProtocol,14,8.61,132.69,17,72,323.81,204.69,332.41,TRUE,FALSE
106,10,H2,7.2CallProtocol,14,8.61,113.32,15,72,504.13,185.32,512.74,TRUE,FALSE
111,1,H2,7.3NumberProtocol,14,8.61,142.64,17,72,84.55,214.64,93.16,TRUE,FALSE
114,3,H2,7.4SequenceProtocol,14,8.61,156.4,19,72,141.65,228.4,150.26,TRUE,FALSE
115,20,H2,7.5MappingProtocol,14,8.61,147.26,18,72,690.1,219.26,698.71,TRUE,FALSE
117,9,H2,7.6IteratorProtocol,14,8.61,136.93,19,72,369.13,208.93,377.74,TRUE,FALSE
118,11,H2,7.7BufferProtocol,14,8.61,128.41,17,72,387.18,200.41,395.78,TRUE,FALSE
125,1,H1,EIGHT,14,8.61,43.37,5,479.92,123.81,523.29,132.41,TRUE,FALSE
125,2,H1,CONCRETEOBJECTSLAYER,14,8.61,199.4,20,323.88,178.6,523.28,187.21,TRUE,FALSE
125,6,H2,8.1FundamentalObjects,14,8.61,171.61,21,72,392.07,243.61,400.68,TRUE,FALSE
131,8,H2,8.2NumericObjects,14,8.61,140.75,17,72,339.12,212.75,347.73,TRUE,FALSE
142,1,H2,8.3SequenceObjects,14,8.61,151.97,18,72,84.55,223.97,93.16,TRUE,FALSE
167,9,H2,8.4ContainerObjects,14,8.61,149.96,19,72,312.85,221.96,321.45,TRUE,FALSE
173,16,H2,8.5FunctionObjects,14,8.61,142.52,18,72,595.51,214.52,604.11,TRUE,FALSE
181,1,H2,8.6OtherObjects,14,8.61,121.54,15,72,84.55,193.54,93.16,TRUE,FALSE
207,1,H1,NINE,14,8.61,34.17,4,489.12,123.81,523.29,132.41,TRUE,FALSE
207,2,H1,"INITIALIZATION,FINALIZATION,ANDTHREADS",14,8.61,320.39,38,202.9,178.6,523.29,187.21,TRUE,FALSE
207,4,H2,9.1BeforePythonInitialization,14,8.61,208.41,29,72,270.01,280.41,278.61,TRUE,FALSE
208,10,H2,9.2Globalconfigurationvariables,14,8.61,229.57,31,72,462.98,301.57,471.59,TRUE,FALSE
211,6,H2,9.3Initializingandfinalizingtheinterpreter,14,8.61,290.78,42,72,336.76,362.78,345.36,TRUE,FALSE
214,1,H2,9.4Process-wideparameters,14,8.61,199.84,25,72,84.55,271.84,93.16,TRUE,FALSE
217,5,H2,9.5ThreadStateandtheGlobalInterpreterLock,14,8.61,330.12,41,72,378.6,402.12,387.21,TRUE,FALSE
224,8,H2,9.6Sub-interpretersupport,14,8.61,188.18,25,72,400.45,260.18,409.06,TRUE,FALSE
227,3,H2,9.7AsynchronousNotifications,14,8.61,212.31,28,72,479.6,284.31,488.2,TRUE,FALSE
228,4,H2,9.8ProfilingandTracing,14,8.61,167.72,22,72,254.27,239.72,262.87,TRUE,FALSE
229,20,H2,9.9Referencetracing,14,8.61,147.97,19,72,716.33,219.97,724.94,TRUE,FALSE
230,12,H2,9.10AdvancedDebuggerSupport,14,8.61,232.34,27,72,477.23,304.34,485.84,TRUE,FALSE
230,23,H2,9.11ThreadLocalStorageSupport,14,8.61,240.01,29,72,722.64,312.01,731.25,TRUE,FALSE
233,1,H2,9.12SynchronizationPrimitives,14,8.61,214.42,29,72,84.55,286.42,93.16,TRUE,FALSE
