page,block,heading,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
1,1,H1,The Java Language Specification,30,52.74,244.65,31,129.68,151.99,374.33,204.73,FALSE,FALSE
17,1,H2,Introduction,30,16.74,148.32,12,283.68,149.29,432,166.03,FALSE,FALSE
29,1,H2,Grammars,30,16.74,126.63,8,305.37,149.29,432,166.03,FALSE,FALSE
35,1,H2,Lexical Structure,30,16.74,207.45,17,224.55,149.29,432,166.03,FALSE,FALSE
71,1,H2,"Types, Values, and Variables",30,16.74,352.41,28,79.59,149.29,432,166.03,FALSE,FALSE
125,1,H2,Conversions and Contexts,30,16.74,315,24,117,149.29,432,166.03,FALSE,FALSE
165,1,H2,Names,30,16.74,83.31,5,348.69,149.29,432,166.03,FALSE,FALSE
225,1,H2,Packages and Modules,30,16.74,274.95,20,157.05,149.29,432,166.03,FALSE,FALSE
253,1,H2,Classes,30,16.74,90,7,342,149.29,432,166.03,FALSE,FALSE
359,1,H2,Interfaces,30,16.74,118.26,10,313.74,149.29,432,166.03,FALSE,FALSE
417,1,H2,Arrays,30,16.74,81.63,6,350.37,149.29,432,166.03,FALSE,FALSE
429,1,H2,Exceptions,30,16.74,133.32,10,298.68,149.29,432,166.03,FALSE,FALSE
443,1,H2,Execution,30,16.74,121.65,9,310.35,149.29,432,166.03,FALSE,FALSE
467,1,H2,Binary Compatibility,30,16.74,255.87,20,176.13,149.29,432,166.03,FALSE,FALSE
499,1,H2,"Blocks, Statements, and Patterns",30,50.74,288.33,32,143.67,149.29,432,200.03,FALSE,FALSE
583,1,H2,Expressions,30,16.74,144.99,11,287.01,149.29,432,166.03,FALSE,FALSE
747,1,H2,Definite Assignment,30,16.74,249.15,19,182.85,149.29,432,166.03,FALSE,FALSE
775,1,H2,Threads and Locks,30,16.74,228.27,17,203.73,149.29,432,166.03,FALSE,FALSE
803,1,H2,Type Inference,30,16.74,182.4,14,249.6,149.29,432,166.03,FALSE,FALSE
841,1,H2,Syntax,30,16.74,83.34,6,348.66,149.29,432,166.03,FALSE,FALSE
1,2,BODY,Java SE 23 Edition,24,13.2,184.66,18,159.67,220.74,344.33,233.94,FALSE,TRUE
3,0,H1,Table of Contents,24,13.39,171.98,17,260.02,88.59,432,101.98,FALSE,FALSE
871,0,BODY,Appendix A. Limited License Grant,24,13.39,347.28,33,84.72,88.59,432,101.98,FALSE,FALSE
417,0,H1,CHAPTER10,20,26.78,146.67,9,285.33,103.33,432,130.12,FALSE,FALSE
429,0,H1,CHAPTER11,20,26.78,146.67,9,285.33,103.33,432,130.12,FALSE,FALSE
443,0,H1,CHAPTER12,20,26.78,146.67,9,285.33,103.33,432,130.12,FALSE,FALSE
467,0,H1,CHAPTER13,20,26.78,146.67,9,285.33,103.33,432,130.12,FALSE,FALSE
499,0,H1,CHAPTER14,20,26.78,146.67,9,285.33,103.33,432,130.12,FALSE,FALSE
583,0,H1,CHAPTER15,20,26.78,146.67,9,285.33,103.33,432,130.12,FALSE,FALSE
747,0,H1,CHAPTER16,20,26.78,146.67,9,285.33,103.33,432,130.12,FALSE,FALSE
775,0,H1,CHAPTER17,20,26.78,146.67,9,285.33,103.33,432,130.12,FALSE,FALSE
803,0,H1,CHAPTER18,20,26.78,146.67,9,285.33,103.33,432,130.12,FALSE,FALSE
841,0,H1,CHAPTER19,20,26.78,146.67,9,285.33,103.33,432,130.12,FALSE,FALSE
1,3,BODY,James Gosling Bill Joy Guy Steele Gilad Bracha Alex Buckley Daniel Smith Gavin Bierman,18,142.04,110.48,86,196.76,270.19,307.24,412.24,FALSE,FALSE
1,4,BODY,2024-08-21,18,10.04,83.99,10,210.01,522.19,293.99,532.24,FALSE,FALSE
17,0,H1,CHAPTER1,16.5,26.78,122.67,8,309.33,103.33,432,130.12,FALSE,FALSE
29,0,H1,CHAPTER2,16.5,26.78,122.67,8,309.33,103.33,432,130.12,FALSE,FALSE
35,0,H1,CHAPTER3,16.5,26.78,122.67,8,309.33,103.33,432,130.12,FALSE,FALSE
71,0,H1,CHAPTER4,16.5,26.78,122.67,8,309.33,103.33,432,130.12,FALSE,FALSE
125,0,H1,CHAPTER5,16.5,26.78,122.67,8,309.33,103.33,432,130.12,FALSE,FALSE
165,0,H1,CHAPTER6,16.5,26.78,122.67,8,309.33,103.33,432,130.12,FALSE,FALSE
225,0,H1,CHAPTER7,16.5,26.78,122.67,8,309.33,103.33,432,130.12,FALSE,FALSE
253,0,H1,CHAPTER8,16.5,26.78,122.67,8,309.33,103.33,432,130.12,FALSE,FALSE
359,0,H1,CHAPTER9,16.5,26.78,122.67,8,309.33,103.33,432,130.12,FALSE,FALSE
1,0,BODY,®,15,8.37,11.4,1,237.13,145.99,248.53,154.36,FALSE,FALSE
26,5,BODY,1.7References,13,7.49,86.88,13,72,358.56,158.88,366.06,TRUE,FALSE
30,4,BODY,2.4Grammar Notation,13,7.49,134.2,19,72,275.56,206.2,283.06,TRUE,FALSE
99,3,BODY,4.9Intersection Types,13,7.49,129.16,21,72,217.56,201.16,225.06,TRUE,FALSE
153,2,BODY,5.4String Contexts,13,7.49,113.27,18,72,77.56,185.27,85.06,TRUE,FALSE
232,2,BODY,7.4Package Declarations,13,7.49,145.76,23,72,77.56,217.76,85.06,TRUE,FALSE
234,6,BODY,7.5Import Declarations,13,7.49,139.26,22,72,364.56,211.26,372.06,TRUE,FALSE
408,7,BODY,9.8Functional Interfaces,13,7.49,145.04,24,72,386.56,217.04,394.06,TRUE,FALSE
412,4,BODY,9.9Function Types,13,7.49,112.57,17,72,292.56,184.57,300.06,TRUE,FALSE
422,4,BODY,10.5Array Store Exception,13,7.49,158.39,25,72,263.56,230.39,271.06,TRUE,FALSE
430,3,BODY,11.1The Kinds and Causes of Exceptions,13,7.49,235.37,38,72,280.56,307.37,288.06,TRUE,FALSE
443,3,BODY,12.1Java Virtual Machine Startup,13,7.49,199.94,32,72,417.86,271.94,425.36,TRUE,FALSE
459,6,BODY,12.6Finalization of Class Instances,13,7.49,201.4,35,72,361.56,273.4,369.06,TRUE,FALSE
468,3,BODY,13.1The Form of a Binary,13,7.49,154.08,24,72,433.56,226.08,441.06,TRUE,FALSE
586,3,BODY,15.4Floating-point Expressions,13,7.49,181.91,30,72,234.56,253.91,242.06,TRUE,FALSE
618,2,BODY,15.10Array Creation and Access Expressions,13,7.49,259.51,42,72,77.56,331.51,85.06,TRUE,FALSE
678,8,BODY,15.14Postfix Expressions,13,7.49,147.23,24,72,547.56,219.23,555.06,TRUE,FALSE
680,7,BODY,15.15Unary Operators,13,7.49,134.93,20,72,451.56,206.93,459.06,TRUE,FALSE
686,4,BODY,15.17Multiplicative Operators,13,7.49,177.54,29,72,289.56,249.54,297.06,TRUE,FALSE
691,4,BODY,15.18Additive Operators,13,7.49,147.22,23,72,299.56,219.22,307.06,TRUE,FALSE
696,2,BODY,15.19Shift Operators,13,7.49,126.27,20,72,77.56,198.27,85.06,TRUE,FALSE
697,3,BODY,15.20Relational Operators,13,7.49,156.6,25,72,265.56,228.6,273.06,TRUE,FALSE
