page,block,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
1,0,"Comprehensive Guide to Major Cities in the South of France",12.00,7.39,312.40,58,72.00,83.88,384.40,91.27,true,false
1,1,"Introduction",12.00,7.39,67.72,12,72.00,109.02,139.72,116.41,true,false
1,2,"The South of France known for its stunning landscapes Mediterranean coastline and rich cultural heritage is home to some of the most beautiful and historically significant cities in the country. This guide provides an in-depth look at the major cities in the South of France detailing their history key attractions cultural highlights and unique characteristics. Whether you're planning a visit or simply want to learn more about this enchanting region this guide will oﬀer valuable insights into each city's charm and allure.",12.00,92.88,470.59,526,72.00,133.98,542.59,226.86,false,false
1,3,"",12.00,8.59,3.34,0,72.00,244.74,75.34,253.33,true,false
1,4,"",12.00,7.39,2.74,0,216.00,244.74,218.74,252.13,true,false
2,0,"Overview of the Region",12.00,7.39,125.02,22,72.00,83.88,197.02,91.27,true,false
2,1,"The South of France or 'Le Midi' encompasses the regions of Provence-Alpes-Côte d'Azur Occitanie and parts of Nouvelle-Aquitaine. This area is renowned for its diverse landscapes from the sun-drenched beaches of the French Riviera to the rolling vineyards of Provence and the rugged Pyrenees mountains. The Mediterranean climate ensures warm summers and mild winters making it a year-round destination. The South of France is also famous for its cuisine wines and vibrant cultural scene.",12.00,92.82,469.09,487,72.00,108.90,541.09,201.72,false,false
2,2,"Travel Tips",12.00,7.39,58.90,11,72.00,219.60,130.90,226.99,true,false
2,3,"• Best Time to Visit: The best time to visit the South of France is during the spring (April to June) and fall (September to October) when the weather is pleasant and the tourist crowds are smaller.",11.99,41.52,450.73,198,90.00,244.74,540.73,286.26,false,false
2,4,"• Transportation: The region is well-connected by an extensive network of trains buses and flights. Renting a car is also a great option for exploring the countryside and smaller towns.",11.98,41.58,431.47,185,90.00,304.14,521.47,345.72,false,false
2,5,"• Language: While French is the oﬃcial language English is widely spoken in tourist",11.95,7.39,429.79,83,90.00,363.54,519.79,370.93,false,false
2,6,"areas. Learning a few basic French phrases can enhance your travel experience.",12.00,7.38,396.73,78,108.00,380.64,504.73,388.02,false,false
2,7,"",12.00,8.59,3.34,0,72.00,405.84,75.34,414.43,true,false
2,8,"",12.00,7.39,2.74,0,216.00,405.84,218.74,413.23,true,false
