page,block,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
1,0,"A Culinary Journey Through the South of France",12.00,7.39,251.02,46,72.00,83.88,323.02,91.27,true,false
1,1,"Introduction",12.00,7.39,67.72,12,72.00,109.02,139.72,116.41,true,false
1,2,"The South of France known for its stunning landscapes and charming villages is also a paradise for food lovers. The region's cuisine is a delightful blend of Mediterranean flavors fresh ingredients and traditional recipes passed down through generations. This guide will take you through the diﬀerent types of food famous dishes must-visit restaurants renowned wine regions and the types of wines they produce to help you plan an unforgettable culinary adventure.",12.00,92.88,468.01,463,72.00,133.98,540.01,226.86,false,false
1,3,"",12.00,8.59,3.34,0,72.00,244.74,75.34,253.33,true,false
1,4,"",12.00,7.39,2.74,0,216.00,244.74,218.74,252.13,true,false
2,0,"Types of Food",12.00,7.39,75.88,13,72.00,83.88,147.88,91.27,true,false
2,1,"The cuisine in the South of France is diverse reflecting the region's rich history and cultural influences. Here are some key types of food you can expect to find:",12.00,24.48,454.51,163,72.00,108.90,526.51,133.38,false,false
2,2,"• Seafood: With its extensive coastline the South of France oﬀers an abundance of fresh seafood. Look for dishes featuring fish shellfish and crustaceans often prepared with Mediterranean herbs and olive oil. Popular seafood dishes include grilled sardines sea bass and mussels marinière. The region's proximity to the Mediterranean Sea ensures that the seafood is always fresh and flavorful.",11.99,75.78,451.16,392,90.00,151.08,541.16,226.86,false,false
2,3,"• Provençal Cuisine: This style of cooking emphasizes fresh vegetables herbs and olive",11.95,7.38,447.97,86,90.00,244.56,537.97,251.94,false,false
2,4,"oil. Ratatouille a vegetable stew and bouillabaisse a fish soup are quintessential Provençal dishes. Provençal cuisine also includes dishes like tapenade a spread made from olives capers and anchovies and pissaladière a savory tart topped with caramelized onions olives and anchovies.",12.00,58.68,430.10,284,108.00,261.66,538.10,320.34,false,false
2,5,"• Niçoise Cuisine: Originating from Nice this cuisine includes dishes like Salade Niçoise a salad with tuna olives and anchovies and Socca a chickpea flour pancake. Other Niçoise specialties include pan bagnat a sandwich made with tuna vegetables and olive oil and daube a slow-cooked beef stew with red wine and vegetables.",11.99,58.68,447.43,324,90.00,338.04,537.43,396.72,false,false
2,6,"• Occitan Cuisine: This cuisine features hearty dishes like cassoulet a slow-cooked casserole with beans sausage and duck and aligot a cheesy mashed potato dish. Occitan cuisine also includes dishes like garbure a thick soup made with cabbage beans and confit de canard (duck confit) and brandade de morue a creamy salt cod spread.",11.99,75.78,442.76,331,90.00,414.42,532.76,490.20,false,false
2,7,"• Basque Cuisine: Influenced by neighboring Spain Basque cuisine includes dishes like",11.95,7.38,442.52,85,90.00,507.90,532.52,515.28,false,false
2,8,"piperade a pepper and tomato stew and axoa a veal stew with peppers. Basque cuisine is also known for its pintxos small snacks typically served in bars and gâteau Basque a traditional Basque cake filled with pastry cream or cherry jam.",12.00,41.58,425.29,235,108.00,525.00,533.29,566.58,false,false
2,9,"",12.00,8.59,3.34,0,72.00,584.40,75.34,592.99,true,false
2,10,"",12.00,7.39,2.74,0,216.00,584.40,218.74,591.79,true,false
3,0,"Famous Dishes",12.00,7.39,80.56,13,72.00,83.88,152.56,91.27,true,false
3,1,"The South of France is home to many iconic dishes that you must try during your visit:",12.00,7.38,431.00,86,72.00,108.90,503.00,116.28,false,false
3,2,"• Bouillabaisse: A traditional fish stew from Marseille made with various types of fish",11.95,7.38,439.70,87,90.00,133.98,529.70,141.36,false,false
3,3,"shellfish and a flavorful broth seasoned with saﬀron and herbs. Bouillabaisse is typically served with rouille a garlicky mayonnaise and crusty bread. The dish is a celebration of the sea and is best enjoyed in a seaside restaurant with a view of the Mediterranean.",12.00,58.68,414.61,265,108.00,151.08,522.61,209.76,false,false
3,4,"• Ratatouille: A vegetable stew made with eggplant zucchini bell peppers tomatoes and onions seasoned with herbs de Provence. Ratatouille can be served as a main dish or as a side and it pairs beautifully with grilled meats or fish. The dish is a testament to the region's love for fresh seasonal produce.",11.99,58.68,439.57,305,90.00,227.46,529.57,286.14,false,false
3,5,"• Salade Niçoise: A refreshing salad with tuna hard-boiled eggs tomatoes green beans",11.96,7.38,451.63,84,90.00,303.84,541.63,311.22,false,false
3,6,"olives and anchovies dressed with olive oil and vinegar. Salade Niçoise is a perfect example of the Mediterranean diet which emphasizes fresh vegetables lean proteins and healthy fats. It's a light yet satisfying dish that is perfect for a warm summer day.",12.00,41.58,430.93,256,108.00,320.94,538.93,362.52,false,false
3,7,"• Socca: A thin crispy pancake made from chickpea flour olive oil and water typically",11.96,7.38,443.96,85,90.00,380.22,533.96,387.60,false,false
3,8,"enjoyed as a street food in Nice. Socca is cooked in a wood-fired oven and is best eaten hot straight from the oven. It's a simple yet delicious snack that showcases the region's love for humble rustic dishes.",12.00,41.58,425.35,209,108.00,397.32,533.35,438.90,false,false
3,9,"• Cassoulet: A hearty casserole from the Languedoc region made with white beans",11.95,7.38,431.47,79,90.00,456.60,521.47,463.98,false,false
3,10,"sausage and duck or pork. Cassoulet is a labor of love requiring hours of slow cooking to develop its rich complex flavors. The dish is a comforting and satisfying meal that is perfect for a chilly evening.",12.00,41.58,416.00,206,108.00,473.70,524.00,515.28,false,false
