page,block,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
1,0,"A Historical Journey Through the South of France",12.00,7.39,256.90,48,72.00,83.88,328.90,91.27,true,false
1,1,"Introduction",12.00,7.39,67.72,12,72.00,109.02,139.72,116.41,true,false
1,2,"The South of France renowned for its picturesque landscapes charming villages and stunning coastline is also steeped in history. From ancient Roman ruins to medieval fortresses and Renaissance architecture this region oﬀers a fascinating glimpse into the past. This guide will take you through the histories of major cities famous historical sites and other points of interest to help you plan an enriching and unforgettable trip.",12.00,75.78,469.63,430,72.00,133.98,541.63,209.76,false,false
1,3,"",12.00,8.59,3.34,0,72.00,227.64,75.34,236.23,true,false
1,4,"",12.00,7.39,2.74,0,216.00,227.64,218.74,235.03,true,false
2,0,"Marseille: The Oldest City in France",12.00,7.39,186.58,36,72.00,83.88,258.58,91.27,true,false
2,1,"Marseille founded by Greek sailors around 600 BC is the oldest city in France. Its strategic location on the Mediterranean coast made it a vital trading port throughout history. The city's rich cultural heritage is reflected in its diverse architecture and vibrant atmosphere.",12.00,41.58,468.80,276,72.00,108.90,540.80,150.48,false,false
2,2,"Key Historical Sites in Marseille",12.00,7.38,158.65,33,72.00,168.18,230.65,175.56,false,false
2,3,"• Old Port (Vieux-Port): The heart of Marseille the Old Port has been a bustling harbor",11.95,7.39,450.37,87,90.00,193.38,540.37,200.77,false,false
2,4,"for over 2600 years. Today it is a lively area filled with cafes restaurants and markets.",12.00,24.48,389.17,89,108.00,210.48,497.17,234.96,false,false
2,5,"• Basilica of Notre-Dame de la Garde: This iconic basilica perched on a hill",11.95,7.39,390.61,76,90.00,252.78,480.61,260.17,false,false
2,6,"overlooking the city oﬀers panoramic views of Marseille and the Mediterranean Sea. Built in the 19th century it is a symbol of the city's maritime heritage.",12.00,24.48,425.41,156,108.00,269.88,533.41,294.36,false,false
2,7,"• Fort Saint-Jean: Constructed in the 17th century this fort guards the entrance to the",11.96,7.39,438.91,87,90.00,312.24,528.91,319.63,false,false
2,8,"Old Port. It now houses part of the Museum of European and Mediterranean Civilizations (MuCEM).",12.00,24.48,384.44,95,108.00,329.34,492.44,353.82,false,false
2,9,"• Le Panier: The oldest district in Marseille Le Panier is a maze of narrow streets",11.95,7.39,415.63,83,90.00,371.64,505.63,379.03,false,false
2,10,"colorful buildings and historic landmarks. It's a great place to explore the city's past and enjoy its vibrant culture.",12.00,24.48,420.25,119,108.00,388.74,528.25,413.22,false,false
2,11,"• Château d'If: Commissioned by King Francis I in 1524 this fortress on the Île d'If",11.95,7.39,417.25,84,90.00,431.04,507.25,438.43,false,false
2,12,"became famous as a prison and was immortalized in Alexandre Dumas' novel 'The Count of Monte Cristo'1.",12.00,24.48,416.35,102,108.00,448.14,524.35,472.62,false,false
2,13,"• La Marseillaise: Marseille played a significant role during the French Revolution and",11.95,7.39,444.07,87,90.00,490.44,534.07,497.83,false,false
2,14,"the city's volunteers composed the national anthem of France 'La Marseillaise'2.",12.00,7.38,408.49,80,108.00,507.54,516.49,514.92,false,false
2,15,"",12.00,8.59,3.34,0,72.00,532.80,75.34,541.39,true,false
2,16,"",12.00,7.39,2.74,0,216.00,532.80,218.74,540.19,true,false
3,0,"Nice: The Jewel of the French Riviera",12.00,7.39,193.30,37,72.00,83.88,265.30,91.27,true,false
3,1,"Nice located on the French Riviera has been a popular destination for centuries. Its history dates back to the ancient Greeks who founded the city around 350 BC. Nice later became a Roman colony and has since evolved into a glamorous resort town.",12.00,41.58,460.58,246,72.00,108.90,532.58,150.48,false,false
3,2,"Key Historical Sites in Nice",12.00,7.38,134.89,28,72.00,168.18,206.89,175.56,false,false
3,3,"• Castle Hill (Colline du Château): This hilltop park oﬀers stunning views of Nice and the Mediterranean. It was once the site of a medieval castle which was destroyed in the 18th century.",11.98,41.58,437.83,188,90.00,193.38,527.83,234.96,false,false
3,4,"• Promenade des Anglais: This famous seaside promenade was built in the 19th century and named after the English aristocrats who frequented Nice. It's perfect for a leisurely stroll along the coast.",11.98,41.58,452.59,198,90.00,252.78,542.59,294.36,false,false
3,5,"• Old Town (Vieux Nice): The historic center of Nice is a labyrinth of narrow streets baroque churches and bustling markets. Don't miss the Cours Saleya market where you can find fresh produce flowers and local delicacies.",11.98,41.58,441.20,222,90.00,312.24,531.20,353.82,false,false
3,6,"• Russian Orthodox Cathedral: Built in the early 20th century this stunning cathedral",11.95,7.39,440.48,85,90.00,371.64,530.48,379.03,false,false
3,7,"reflects the influence of Russian aristocrats who vacationed in Nice.",12.00,7.38,337.45,69,108.00,388.74,445.45,396.12,false,false
3,8,"• Cimiez: An ancient Roman settlement Cimiez is home to the ruins of a Roman",11.95,7.39,412.33,76,90.00,413.94,502.33,421.33,false,false
3,9,"amphitheater and baths as well as the Monastery of Cimiez which oﬀers beautiful gardens and a museum dedicated to the painter Henri Matisse3.",12.00,24.48,414.01,141,108.00,431.04,522.01,455.52,false,false
3,10,"• Carnival of Nice: One of the most famous carnivals in France the Carnival of Nice",11.95,7.39,427.21,83,90.00,473.34,517.21,480.73,false,false
3,11,"dates back to 1873 and features elaborate parades floats and flower battles4.",12.00,7.38,389.95,77,108.00,490.44,497.95,497.82,false,false
3,12,"",12.00,8.59,3.34,0,72.00,515.70,75.34,524.29,true,false
3,13,"",12.00,7.39,2.74,0,216.00,515.70,218.74,523.09,true,false
4,0,"Avignon: The City of Popes",12.00,7.39,142.48,26,72.00,83.88,214.48,91.27,true,false
4,1,"Avignon located on the banks of the Rhône River is best known for its role as the seat of the papacy in the 14th century. The city was home to seven popes during this period leaving a lasting legacy of impressive architecture and cultural heritage.",12.00,41.58,464.53,248,72.00,108.90,536.53,150.48,false,false
4,2,"Key Historical Sites in Avignon",12.00,7.38,154.27,31,72.00,168.18,226.27,175.56,false,false
4,3,"• Palais des Papes: This massive Gothic palace was the residence of the popes during their stay in Avignon. It is one of the largest and most important medieval Gothic buildings in Europe.",11.98,41.58,438.07,188,90.00,193.38,528.07,234.96,false,false
4,4,"• Pont Saint-Bénézet (Pont d'Avignon): This famous bridge immortalized in the song",11.95,7.39,441.97,82,90.00,252.78,531.97,260.17,false,false
4,5,"'Sur le Pont d'Avignon' was built in the 12th century. Although only a few arches remain it is a UNESCO World Heritage site.",12.00,24.48,404.06,124,108.00,269.88,512.06,294.36,false,false
4,6,"• Avignon Cathedral: Located next to the Palais des Papes this Romanesque cathedral",11.95,7.39,447.14,83,90.00,312.24,537.14,319.63,false,false
4,7,"dates back to the 12th century and features a gilded statue of the Virgin Mary.",12.00,7.38,387.73,79,108.00,329.34,495.73,336.72,false,false
4,8,"• Place de l'Horloge: The main square in Avignon this lively area is surrounded by cafes restaurants and historic buildings including the 19th-century town hall and opera house.",11.98,41.58,427.21,177,90.00,354.54,517.21,396.12,false,false
4,9,"• Rocher des Doms: This rocky outcrop oﬀers panoramic views of the Rhône River and",11.95,7.39,446.35,82,90.00,413.94,536.35,421.33,false,false
4,10,"the surrounding countryside. It has been a strategic site since prehistoric times and now features beautiful gardens5.",12.00,24.48,413.23,118,108.00,431.04,521.23,455.52,false,false
4,11,"• Avignon Festival: Established in 1947 the Avignon Festival is one of the most",11.95,7.39,405.97,79,90.00,473.34,495.97,480.73,false,false
4,12,"important contemporary performing arts events in the world attracting artists and audiences from around the globe6.",12.00,24.48,414.91,115,108.00,490.44,522.91,514.92,false,false
4,13,"",12.00,8.59,3.34,0,72.00,532.80,75.34,541.39,true,false
4,14,"",12.00,7.39,2.74,0,216.00,532.80,218.74,540.19,true,false
5,0,"Nîmes: The Rome of France",12.00,7.39,145.36,25,72.00,83.88,217.36,91.27,true,false
5,1,"Nîmes often referred to as the 'Rome of France' boasts some of the best-preserved Roman architecture in the country. The city's history dates back to the Roman Empire when it was an important settlement in the province of Gallia Narbonensis.",12.00,41.58,469.93,241,72.00,108.90,541.93,150.48,false,false
5,2,"Key Historical Sites in Nîmes",12.00,7.38,144.55,29,72.00,168.18,216.55,175.56,false,false
5,3,"• Arena of Nîmes: This Roman amphitheater built in the 1st century AD is one of the best-preserved in the world. It still hosts events including concerts and bullfights.",11.98,24.48,435.55,169,90.00,193.38,525.55,217.86,false,false
5,4,"• Maison Carrée: A beautifully preserved Roman temple the Maison Carrée dates back",11.95,7.39,450.14,82,90.00,235.74,540.14,243.13,false,false
5,5,"to the 1st century BC. It is one of the best examples of classical Roman architecture.",12.00,7.38,416.35,86,108.00,252.84,524.35,260.22,false,false
5,6,"• Pont du Gard: Located just outside Nîmes this ancient Roman aqueduct is a UNESCO",11.95,7.39,449.23,82,90.00,278.04,539.23,285.43,false,false
5,7,"World Heritage site. It was built in the 1st century AD to transport water to the city.",12.00,7.38,411.25,87,108.00,295.14,519.25,302.52,false,false
