page,block,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
1,0,"The Ultimate South of France Travel Companion: Your Comprehensive Guide to Packing Planning and Exploring",12.00,24.49,460.54,105,72.00,83.88,532.54,108.37,true,false
1,1,"Introduction",12.00,7.39,67.72,12,72.00,126.12,139.72,133.51,true,false
1,2,"Planning a trip to the South of France requires thoughtful preparation to ensure a comfortable and enjoyable experience. This guide covers everything from packing essentials to travel tips catering to all seasons and various activities. Whether you're traveling solo with kids or in a group this guide will help you make the most of your trip.",12.00,58.68,467.65,343,72.00,151.14,539.65,209.82,false,false
1,3,"",12.00,8.59,3.34,0,72.00,227.64,75.34,236.23,true,false
1,4,"",12.00,7.39,2.74,0,216.00,227.64,218.74,235.03,true,false
2,0,"General Packing Tips and Tricks",12.00,7.39,167.08,31,72.00,83.88,239.08,91.27,true,false
2,1,"• Layering: The weather can vary so pack layers to stay comfortable in diﬀerent",11.95,7.39,413.11,79,90.00,109.02,503.11,116.41,false,false
2,2,"temperatures.",12.00,7.38,72.55,13,108.00,126.12,180.55,133.50,false,false
2,3,"• Versatile Clothing: Choose items that can be mixed and matched to create multiple",11.95,7.39,440.60,83,90.00,151.32,530.60,158.71,false,false
2,4,"outfits helping you pack lighter.",12.00,7.38,162.25,33,108.00,168.42,270.25,175.80,false,false
2,5,"• Packing Cubes: Use packing cubes to organize your clothes and maximize suitcase",11.95,7.39,433.75,81,90.00,193.62,523.75,201.01,false,false
2,6,"space.",12.00,7.38,33.67,6,108.00,210.72,141.67,218.10,false,false
2,7,"• Roll Your Clothes: Rolling clothes saves space and reduces wrinkles.",11.94,7.39,363.01,70,90.00,235.98,453.01,243.37,false,false
2,8,"• Travel-Sized Toiletries: Bring travel-sized toiletries to save space and comply with",11.95,7.39,431.41,86,90.00,261.18,521.41,268.57,false,false
2,9,"airline regulations.",12.00,7.38,94.99,20,108.00,278.28,202.99,285.66,false,false
2,10,"• Reusable Bags: Pack a few reusable bags for laundry shoes or shopping.",11.95,7.39,387.31,72,90.00,303.48,477.31,310.87,false,false
2,11,"• First Aid Kit: Include a small first aid kit with band-aids antiseptic wipes and any",11.95,7.39,426.01,86,90.00,328.74,516.01,336.13,false,false
2,12,"necessary medications.",12.00,7.38,119.11,22,108.00,345.84,227.11,353.22,false,false
2,13,"• Copies of Important Documents: Make copies of your passport travel insurance and",11.95,7.39,449.53,82,90.00,371.04,539.53,378.43,false,false
2,14,"other important documents. Keep them separate from the originals.",12.00,7.38,341.71,65,108.00,388.14,449.71,395.52,false,false
2,15,"• Portable Laundry Kit: A small laundry kit with detergent and a travel clothesline can",11.95,7.39,445.27,87,90.00,413.34,535.27,420.73,false,false
2,16,"be handy for longer trips.",12.00,7.38,128.17,26,108.00,430.44,236.17,437.82,false,false
2,17,"• Multi-Purpose Shoes: Choose shoes that are comfortable for walking but can also be",11.95,7.39,447.85,84,90.00,455.64,537.85,463.03,false,false
2,18,"worn to a nice dinner.",12.00,7.38,111.19,22,108.00,472.80,219.19,480.18,false,false
2,19,"• Travel Pillow and Blanket: A compact travel pillow and blanket can make long flights",11.95,7.39,449.47,86,90.00,498.00,539.47,505.39,false,false
2,20,"or train rides more comfortable.",12.00,7.38,162.73,32,108.00,515.10,270.73,522.48,false,false
2,21,"• Ziplock Bags: Use ziplock bags for liquids snacks or to keep items organized and",11.95,7.39,428.47,82,90.00,540.30,518.47,547.69,false,false
2,22,"protected from spills.",12.00,7.38,108.79,22,108.00,557.40,216.79,564.78,false,false
2,23,"• Emergency Contact List: Have a list of emergency contacts including local embassy",11.95,7.39,442.33,83,90.00,582.60,532.33,589.99,false,false
2,24,"or consulate information.",12.00,7.38,128.53,25,108.00,599.70,236.53,607.08,false,false
2,25,"",12.00,8.59,3.34,0,72.00,624.96,75.34,633.55,true,false
2,26,"",12.00,7.39,2.74,0,216.00,624.96,218.74,632.35,true,false
3,0,"Packing for All Seasons",12.00,7.39,122.74,23,72.00,83.88,194.74,91.27,true,false
3,1,"Spring (March to May)",12.00,7.39,118.72,21,72.00,109.02,190.72,116.41,true,false
3,2,"• Clothing: Light sweaters long-sleeve shirts t-shirts and a light jacket or raincoat.",11.96,7.39,427.57,86,90.00,134.10,517.57,141.49,false,false
3,3,"• Footwear: Comfortable walking shoes and sandals.",11.92,7.39,278.53,50,90.00,159.36,368.53,166.75,false,false
3,4,"• Accessories: Sunglasses a hat and a small umbrella.",11.93,7.39,285.07,53,90.00,184.56,375.07,191.95,false,false
3,5,"• Additional Tips: Spring can be unpredictable so be prepared for both sunny and rainy",11.95,7.39,451.94,86,90.00,209.82,541.94,217.21,false,false
3,6,"days. Consider packing a lightweight scarf for cooler evenings.",12.00,7.38,312.13,63,108.00,226.92,420.13,234.30,false,false
3,7,"Summer (June to August)",12.00,7.39,134.50,23,72.00,252.12,206.50,259.51,true,false
3,8,"• Clothing: Lightweight breathable fabrics like cotton and linen. Pack t-shirts shorts",11.96,7.39,437.23,86,90.00,277.26,527.23,284.65,false,false
3,9,"sundresses and swimwear.",12.00,7.38,137.83,24,108.00,294.36,245.83,301.74,false,false
3,10,"• Footwear: Sandals flip-flops and comfortable walking shoes.",11.94,7.39,330.79,61,90.00,319.56,420.79,326.95,false,false
3,11,"• Accessories: Sunglasses a wide-brimmed hat sunscreen and a reusable water bottle.",11.95,7.39,450.19,83,90.00,344.76,540.19,352.15,false,false
3,12,"• Additional Tips: The South of France can get very hot in the summer so stay hydrated and seek shade during peak sun hours. Pack a cooling towel to help manage the heat.",11.98,24.48,451.39,170,90.00,370.02,541.39,394.50,false,false
3,13,"Autumn (September to November)",12.00,7.39,184.54,30,72.00,412.32,256.54,419.71,true,false
3,14,"• Clothing: Light sweaters long-sleeve shirts t-shirts and a medium-weight jacket.",11.95,7.39,428.95,82,90.00,437.46,518.95,444.85,false,false
3,15,"• Footwear: Comfortable walking shoes and boots.",11.92,7.39,269.59,48,90.00,462.66,359.59,470.05,false,false
3,16,"• Accessories: Sunglasses a scarf and a small umbrella.",11.93,7.39,292.09,55,90.00,487.86,382.09,495.25,false,false
3,17,"• Additional Tips: Autumn is a great time to visit vineyards and enjoy the harvest",11.95,7.39,417.49,82,90.00,513.12,507.49,520.51,false,false
3,18,"season. Pack layers to adjust to varying temperatures throughout the day.",12.00,7.38,368.83,73,108.00,530.22,476.83,537.60,false,false
3,19,"Winter (December to February)",12.00,7.39,166.06,29,72.00,555.42,238.06,562.81,true,false
3,20,"• Clothing: Warm layers such as sweaters long-sleeve shirts and thermal tops. A heavy",11.95,7.39,449.77,85,90.00,580.56,539.77,587.95,false,false
3,21,"coat gloves and a hat.",12.00,7.38,117.01,22,108.00,597.66,225.01,605.04,false,false
3,22,"• Footwear: Waterproof boots and comfortable walking shoes.",11.93,7.39,327.25,59,90.00,622.86,417.25,630.25,false,false
3,23,"• Accessories: A scarf sunglasses for sunny winter days and a travel-sized hand",11.95,7.39,411.01,79,90.00,648.06,501.01,655.45,false,false
3,24,"warmer.",12.00,7.38,43.57,7,108.00,665.16,151.57,672.54,false,false
4,0,"• Additional Tips: Winter is mild compared to other regions but it's still important to pack warm clothing for cooler evenings. Consider packing thermal underwear for extra warmth.",11.99,41.58,437.11,180,90.00,83.88,527.11,125.46,false,false
4,1,"Packing for Adults",12.00,7.39,97.15,18,72.00,143.28,169.15,150.67,true,false
4,2,"Clothing",12.00,7.39,46.84,8,72.00,168.42,118.84,175.81,true,false
4,3,"• Casual Wear: Comfortable clothes for sightseeing and casual dining like jeans t-",11.95,7.39,421.56,82,90.00,193.56,511.56,200.95,false,false
4,4,"shirts and casual dresses.",12.00,7.38,130.87,26,108.00,210.66,238.87,218.04,false,false
4,5,"• Evening Wear: Dressier outfits for dining out or events. Pack a nice dress or dress",11.95,7.39,425.05,85,90.00,235.86,515.05,243.25,false,false
4,6,"pants and a blouse/shirt.",12.00,7.38,126.31,25,108.00,252.96,234.31,260.34,false,false
4,7,"• Active Wear: If you plan on hiking or outdoor activities pack activewear like leggings",11.96,7.39,449.59,88,90.00,278.16,539.59,285.55,false,false
4,8,"shorts and moisture-wicking tops.",12.00,7.38,175.15,33,108.00,295.26,283.15,302.64,false,false
4,9,"• Swimwear: Don't forget your swimsuit for beach or pool visits.",11.94,7.39,333.49,64,90.00,320.52,423.49,327.91,false,false
4,10,"• Accessories: A stylish yet functional bag a lightweight scarf and a versatile jacket.",11.96,7.39,432.73,87,90.00,345.72,522.73,353.11,false,false
4,11,"• Additional Tips: Pack a few statement pieces that can be dressed up or down such as",11.95,7.39,449.42,85,90.00,370.92,539.42,378.31,false,false
