page,block,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
1,0,"A Comprehensive Guide to Traditions and Culture in the South of France",12.00,7.39,376.18,70,72.00,83.88,448.18,91.27,true,false
1,1,"Introduction",12.00,7.39,67.72,12,72.00,109.02,139.72,116.41,true,false
1,2,"The South of France with its picturesque landscapes charming villages and vibrant cities is not only a feast for the eyes but also a treasure trove of cultural traditions and heritage. This region known for its rich history and diverse influences oﬀers a unique blend of customs festivals and local practices that reflect its distinct identity. This guide will take you through the various traditions and cultural aspects of the South of France providing a deep understanding of what makes this region so special.",12.00,92.88,460.58,513,72.00,133.98,532.58,226.86,false,false
1,3,"",12.00,8.59,3.34,0,72.00,244.74,75.34,253.33,true,false
1,4,"",12.00,7.39,2.74,0,216.00,244.74,218.74,252.13,true,false
2,0,"Language and Literature",12.00,7.39,129.64,23,72.00,83.88,201.64,91.27,true,false
2,1,"Provençal Language",12.00,7.39,107.80,18,72.00,109.02,179.80,116.41,true,false
2,2,"The Provençal language also known as Occitan has been a significant part of the cultural identity of the South of France. Although French is the dominant language today Provençal was widely spoken until the 19th century. It is still preserved in literature music and local expressions. Eﬀorts to revive and promote the language continue with festivals and educational programs dedicated to its preservation.",12.00,75.78,457.15,407,72.00,133.98,529.15,209.76,false,false
2,3,"Literature and Poetry",12.00,7.39,113.92,21,72.00,227.64,185.92,235.03,true,false
2,4,"The South of France has inspired many writers and poets over the centuries. The troubadours of the medieval period who composed and performed lyrical poetry were particularly influential. Their works often celebrated chivalry love and nature. The region's literary heritage also includes famous authors like Marcel Pagnol whose novels and plays vividly depict Provençal life.",12.00,75.78,466.82,375,72.00,252.60,538.82,328.38,false,false
2,5,"",12.00,7.39,2.74,0,72.00,346.20,74.74,353.59,true,false
2,6,"Festivals and Celebrations",12.00,7.39,138.22,26,72.00,371.34,210.22,378.73,true,false
2,7,"Carnival of Nice",12.00,7.39,84.46,16,72.00,396.48,156.46,403.87,true,false
2,8,"Held in Nice from mid-February to early March the Carnival of Nice is one of the most famous and oldest carnivals in the world. The festivities include parades with elaborate floats street performances and fireworks. The Battle of Flowers where participants throw flowers into the crowd is a highlight of the event. The carnival's vibrant atmosphere and colorful displays attract visitors from all over the world.",12.00,75.72,468.73,413,72.00,421.50,540.73,497.22,false,false
2,9,"Fête de la Musique",12.00,7.39,100.54,18,72.00,515.10,172.54,522.49,true,false
2,10,"Celebrated on June 21st the Fête de la Musique is a nationwide music festival that originated in France. In the South of France cities and towns come alive with music as both amateur and professional musicians perform in streets squares and parks. The festival promotes a diverse range of musical genres and encourages community participation.",12.00,58.68,464.11,343,72.00,540.06,536.11,598.74,false,false
2,11,"Transhumance Festivals",12.00,7.39,126.58,22,72.00,616.62,198.58,624.01,true,false
2,12,"Transhumance the seasonal migration of livestock to higher pastures is a tradition that dates back centuries. Although modern transportation has replaced much of the traditional practice transhumance festivals are still celebrated in many villages particularly in Saint- Rémy-de-Provence in May. These festivals feature parades of sheep goats and cattle",12.00,58.68,466.88,353,72.00,641.58,538.88,700.26,false,false
3,0,"accompanied by shepherds and their dogs. It's a unique opportunity to witness a living tradition and enjoy local food and music.",12.00,24.48,434.78,128,72.00,83.76,506.78,108.24,false,false
3,1,"",12.00,7.39,2.74,0,72.00,126.06,74.74,133.45,true,false
3,2,"Traditional Sports and Games",12.00,7.39,156.76,28,72.00,151.20,228.76,158.59,true,false
3,3,"Pétanque",12.00,7.39,52.60,8,72.00,176.34,124.60,183.73,true,false
